pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
150,v,,,,,24,2,98,3,765.0615949000057,,765.0475379000127,765.0615949000057,766.061540300012,766.061540300012,766.061540300012,766.061540300012,766.061540300012,767.0610828000063,767.0610828000063,767.8291850000096,v,1,0.756459399999585,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-50,x,,,,,24,3,99,1,767.8439928000007,,767.8309283000126,767.8439928000007,768.8440877000103,768.8440877000103,768.8440877000103,768.8440877000103,768.8440877000103,769.8426114000031,769.8426114000031,770.794778800002,x,1,0.9384418999979971,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-150,z,,,,,25,0,100,0,770.8103600000031,,770.7962901999999,770.8103600000031,771.8099198000127,771.8099198000127,771.8099198000127,771.8099198000127,771.8099198000127,772.8103027000034,772.8103027000034,773.6109775000077,z,1,0.7843016000115313,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
150,v,,,,,25,1,101,3,773.6264927000011,,773.6123592000076,773.6264927000011,774.6264194000105,774.6264194000105,774.6264194000105,774.6264194000105,774.6264194000105,775.6257912000001,775.6257912000001,776.3266807000036,v,1,0.684952700001304,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-50,x,,,,,25,2,102,1,776.3421979000123,,776.3279014,776.3421979000123,777.3421073000063,777.3421073000063,777.3421073000063,777.3421073000063,777.3421073000063,778.3419363000139,778.3419363000139,779.1938475000061,x,1,0.8357318000053056,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
150,v,,,,,25,3,103,3,779.2085709000094,,779.195592300006,779.2085709000094,780.2084074000013,780.2084074000013,780.2084074000013,780.2084074000013,780.2084074000013,781.207868700003,781.207868700003,781.7929332000058,v,1,0.5687586999993073,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
50,c,,,,,26,0,104,2,781.8080347000068,,781.794741900012,781.8080347000068,782.8077897000039,782.8077897000039,782.8077897000039,782.8077897000039,782.8077897000039,783.8076293000049,783.8076293000049,784.5750572000106,c,1,0.7533239000040339,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-50,x,,,,,26,1,105,1,784.5904895000131,,784.5760390000069,784.5904895000131,785.5903759000066,785.5903759000066,785.5903759000066,785.5903759000066,785.5903759000066,786.5901328000036,786.5901328000036,787.3252254000108,x,1,0.7215291000029538,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
150,v,,,,,26,2,106,3,787.3399369000108,,787.3269114000141,787.3399369000108,788.3396353000135,788.3396353000135,788.3396353000135,788.3396353000135,788.3396353000135,789.3393239000143,789.3393239000143,789.93993030001,v,1,0.5902935000049183,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-50,x,,,,,26,3,107,1,789.9553053000127,,789.9413804000069,789.9553053000127,790.9560263000021,790.9560263000021,790.9560263000021,790.9560263000021,790.9560263000021,791.9563468000124,791.9563468000124,792.8068905000109,x,1,0.8436175999959232,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-50,x,,,,,27,0,108,1,792.8221283000021,,792.8081279000035,792.8221283000021,793.821869700012,793.821869700012,793.821869700012,793.821869700012,793.821869700012,794.8217909000086,794.8217909000086,795.5396072000003,x,1,0.7095439999975497,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
150,v,,,,,27,1,109,3,795.5549996000045,,795.5409310000105,795.5549996000045,796.554629700011,796.554629700011,796.554629700011,796.554629700011,796.554629700011,797.55460090001,797.55460090001,798.1566328000044,v,1,0.5859782000043197,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-50,x,,,,,27,2,110,1,798.1711820000055,,798.1587332000054,798.1711820000055,799.1707347000047,799.1707347000047,799.1707347000047,799.1707347000047,799.1707347000047,800.1706085000042,800.1706085000042,800.888489200006,x,1,0.7138028000044869,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-150,z,,,,,27,3,111,0,800.9038728000014,,800.8899605000042,800.9038728000014,801.9035626000114,801.9035626000114,801.9035626000114,801.9035626000114,801.9035626000114,802.9034122000012,802.9034122000012,803.5883586000127,z,1,0.6788575000100536,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-50,x,,,,,28,0,112,1,803.6033719000116,,803.5899796000012,803.6033719000116,804.6029494000104,804.6029494000104,804.6029494000104,804.6029494000104,804.6029494000104,805.6029981000029,805.6029981000029,806.170949700012,x,1,0.5522007000108715,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-50,x,,,,,28,1,113,1,806.1859771000018,,806.1725928000087,806.1859771000018,807.1859065000026,807.1859065000026,807.1859065000026,807.1859065000026,807.1859065000026,808.1865670000116,808.1865670000116,808.7370645000046,x,1,0.5472140000056243,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-150,z,,,,,28,2,114,0,808.7522742000001,,808.7385962000117,808.7522742000001,809.7520393000013,809.7520393000013,809.7520393000013,809.7520393000013,809.7520393000013,810.7518019000127,810.7518019000127,811.2868703000131,z,1,0.5182268999924418,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
-50,x,,,,,28,3,115,1,811.3016213000083,,811.2885449000023,811.3016213000083,812.3014711000142,812.3014711000142,812.3014711000142,812.3014711000142,812.3014711000142,813.3010020000074,813.3010020000074,813.8025284000032,x,1,0.4991824999888195,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
50,c,,,,,29,0,116,2,813.8175947000127,,813.8038510000042,813.8175947000127,814.81758670001,814.81758670001,814.81758670001,814.81758670001,814.81758670001,815.8174271000025,815.8174271000025,816.7521385,c,1,0.9243893999955617,None,866364,001,2024-10-16_16h27.00.880,sequene learning,2024.1.5,None,2024-10-16 16h27.07.445902 +0530,
